match_id,winner,map,region,date_time
1076557402,0,Ranked Frog Isle,Brazil,3/27/2021 7:22:01 AM
1076557463,0,Ranked Serpent Beach,EU,3/27/2021 7:22:31 AM
1076557506,0,Ranked Splitstone Quarry,Brazil,3/27/2021 7:22:53 AM
1076557515,0,Ranked Frozen Guard,Brazil,3/27/2021 7:22:57 AM
1076557549,0,Ranked Ice Mines,EU,3/27/2021 7:23:20 AM
1076557602,1,Ranked Splitstone Quarry,Latin America North,3/27/2021 7:23:49 AM
1076557626,1,Ranked Timber Mill,EU,3/27/2021 7:24:06 AM
1076557669,0,Ranked Ice Mines,NA,3/27/2021 7:24:29 AM
1076557700,1,Ranked Serpent Beach,Southeast Asia,3/27/2021 7:24:43 AM
1076557727,0,Ranked Ice Mines,NA,3/27/2021 7:24:59 AM
1076557742,0,Ranked Frozen Guard,Latin America North,3/27/2021 7:25:07 AM
1076557783,1,Ranked Warder's Gate,EU,3/27/2021 7:25:31 AM
1076557812,1,Ranked Splitstone Quarry,Latin America North,3/27/2021 7:25:45 AM
1076557858,1,Ranked Stone Keep,EU,3/27/2021 7:26:13 AM
1076557865,0,Ranked Frog Isle,NA,3/27/2021 7:26:14 AM
1076557905,0,Ranked Frozen Guard,Brazil,3/27/2021 7:26:33 AM
1076557937,1,Ranked Warder's Gate,NA,3/27/2021 7:26:50 AM
1076557980,0,Ranked Frozen Guard,Latin America North,3/27/2021 7:27:08 AM
1076557989,1,Ranked Frozen Guard,Brazil,3/27/2021 7:27:11 AM
1076558018,0,Ranked Frozen Guard,NA,3/27/2021 7:27:29 AM
1076558169,1,Ranked Ascension Peak,NA,3/27/2021 7:28:56 AM
1076558176,1,Ranked Frozen Guard,Latin America North,3/27/2021 7:28:59 AM
1076558202,1,Ranked Timber Mill,NA,3/27/2021 7:29:07 AM
1076558252,1,Ranked Splitstone Quarry,Latin America North,3/27/2021 7:29:33 AM
1076558286,1,Ranked Stone Keep,Southeast Asia,3/27/2021 7:29:48 AM
1076558322,0,Ranked Jaguar Falls,NA,3/27/2021 7:30:07 AM
1076558367,1,Ranked Ascension Peak,EU,3/27/2021 7:30:25 AM
1076558370,0,Ranked Jaguar Falls,Latin America North,3/27/2021 7:30:27 AM
1076558449,1,Ranked Frozen Guard,Southeast Asia,3/27/2021 7:31:02 AM
1076558468,0,Ranked Timber Mill,NA,3/27/2021 7:31:12 AM
1076558481,1,Ranked Frozen Guard,Brazil,3/27/2021 7:31:19 AM
1076558487,1,Ranked Ascension Peak,EU,3/27/2021 7:31:22 AM
1076568881,1,Ranked Ice Mines,EU,3/27/2021 9:00:00 AM
1076568897,1,Ranked Jaguar Falls,NA,3/27/2021 9:00:10 AM
1076568995,0,Ranked Ascension Peak,EU,3/27/2021 9:00:55 AM
1076569088,1,Ranked Stone Keep,EU,3/27/2021 9:01:44 AM
1076569139,0,Ranked Jaguar Falls,EU,3/27/2021 9:02:04 AM
1076569197,1,Ranked Frog Isle,Brazil,3/27/2021 9:02:35 AM
1076569214,0,Ranked Frog Isle,EU,3/27/2021 9:02:45 AM
1076569264,0,Ranked Stone Keep,EU,3/27/2021 9:03:11 AM
1076569269,0,Ranked Frozen Guard,EU,3/27/2021 9:03:14 AM
1076569304,1,Ranked Ice Mines,EU,3/27/2021 9:03:31 AM
1076569305,0,Ranked Ascension Peak,Southeast Asia,3/27/2021 9:03:31 AM
1076569347,1,Ranked Frog Isle,EU,3/27/2021 9:03:49 AM
1076569468,0,Ranked Frozen Guard,NA,3/27/2021 9:04:51 AM
1076569476,0,Ranked Warder's Gate,Southeast Asia,3/27/2021 9:04:55 AM
1076569530,0,Ranked Frog Isle,EU,3/27/2021 9:05:19 AM
1076569658,0,Ranked Ice Mines,Brazil,3/27/2021 9:06:19 AM
1076569663,0,Ranked Splitstone Quarry,EU,3/27/2021 9:06:21 AM
1076569671,1,Ranked Ascension Peak,Southeast Asia,3/27/2021 9:06:25 AM
1076569742,0,Ranked Stone Keep,Southeast Asia,3/27/2021 9:07:05 AM
1076569790,1,Ranked Warder's Gate,NA,3/27/2021 9:07:28 AM
1076569792,0,Ranked Splitstone Quarry,EU,3/27/2021 9:07:30 AM
1076569906,0,Ranked Frozen Guard,EU,3/27/2021 9:08:27 AM
1076569914,1,Ranked Stone Keep,NA,3/27/2021 9:08:31 AM
1076569933,1,Ranked Frog Isle,EU,3/27/2021 9:08:41 AM
1076569997,0,Ranked Splitstone Quarry,EU,3/27/2021 9:09:10 AM
1076570016,0,Ranked Warder's Gate,EU,3/27/2021 9:09:17 AM
1076570073,1,Ranked Ice Mines,NA,3/27/2021 9:09:47 AM
1076570086,0,Ranked Frog Isle,NA,3/27/2021 9:09:53 AM
1076570123,1,Ranked Splitstone Quarry,EU,3/27/2021 9:10:09 AM
1076570139,1,Ranked Ice Mines,EU,3/27/2021 9:10:15 AM
1076570208,1,Ranked Warder's Gate,Southeast Asia,3/27/2021 9:10:49 AM
1076570263,0,Ranked Frog Isle,EU,3/27/2021 9:11:19 AM
1076570351,0,Ranked Timber Mill,NA,3/27/2021 9:12:01 AM
1076570382,0,Ranked Jaguar Falls,EU,3/27/2021 9:12:14 AM
1076570520,1,Ranked Frozen Guard,NA,3/27/2021 9:13:19 AM
1076570629,0,Ranked Splitstone Quarry,EU,3/27/2021 9:14:07 AM
1076570638,1,Ranked Stone Keep,Southeast Asia,3/27/2021 9:14:15 AM
1076570660,1,Ranked Frozen Guard,NA,3/27/2021 9:14:22 AM
1076570700,1,Ranked Frog Isle,EU,3/27/2021 9:14:38 AM
1076570775,0,Ranked Jaguar Falls,EU,3/27/2021 9:15:14 AM
1076570845,0,Ranked Serpent Beach,EU,3/27/2021 9:15:42 AM
1076570917,1,Ranked Timber Mill,NA,3/27/2021 9:16:13 AM
1076570964,0,Ranked Ice Mines,EU,3/27/2021 9:16:33 AM
